SYMBOL,CLOSING PRICE,DAY,DATE
T,35.76,2,2014-05-07
T,35.49,1,2014-05-06
T,35.76,0,2014-05-05
T,35.63,4,2014-05-02
T,35.58,3,2014-05-01
T,35.70,2,2014-04-30
T,35.42,1,2014-04-29
T,35.08,0,2014-04-28
T,34.49,4,2014-04-25
T,34.50,3,2014-04-24
T,34.92,2,2014-04-23
T,36.29,1,2014-04-22
T,36.06,0,2014-04-21
T,36.04,3,2014-04-17
T,36.10,2,2014-04-16
T,35.68,1,2014-04-15
T,35.36,0,2014-04-14
T,35.20,4,2014-04-11
T,35.12,3,2014-04-10
T,34.92,2,2014-04-09
T,35.27,1,2014-04-08
T,35.49,0,2014-04-07
T,35.55,4,2014-04-04
T,35.63,3,2014-04-03
T,35.37,2,2014-04-02
T,35.09,1,2014-04-01
T,35.07,0,2014-03-31
T,35.07,4,2014-03-28
T,34.96,3,2014-03-27
T,34.61,2,2014-03-26
T,34.72,1,2014-03-25
T,34.46,0,2014-03-24
T,34.30,4,2014-03-21
T,34.09,3,2014-03-20
T,32.96,2,2014-03-19
T,32.98,1,2014-03-18
T,32.89,0,2014-03-17
T,32.49,4,2014-03-14
T,32.35,3,2014-03-13
T,32.38,2,2014-03-12
T,32.23,1,2014-03-11
T,32.51,0,2014-03-10
T,32.54,4,2014-03-07
T,32.34,3,2014-03-06
T,32.13,2,2014-03-05
T,32.15,1,2014-03-04
T,31.86,0,2014-03-03
T,31.93,4,2014-02-28
T,32.23,3,2014-02-27
T,32.00,2,2014-02-26
T,32.17,1,2014-02-25
T,32.47,0,2014-02-24
T,32.80,4,2014-02-21
T,33.18,3,2014-02-20
T,32.85,2,2014-02-19
T,32.82,1,2014-02-18
T,33.15,4,2014-02-14
T,33.49,3,2014-02-13
T,32.94,2,2014-02-12
T,32.95,1,2014-02-11
T,32.44,0,2014-02-10
T,32.30,4,2014-02-07
T,32.00,3,2014-02-06
T,32.08,2,2014-02-05
T,32.45,1,2014-02-04
T,31.95,0,2014-02-03
T,33.32,4,2014-01-31
T,33.35,3,2014-01-30
T,33.31,2,2014-01-29
T,33.70,1,2014-01-28
T,33.51,0,2014-01-27
T,33.42,4,2014-01-24
T,33.80,3,2014-01-23
T,33.34,2,2014-01-22
T,33.57,1,2014-01-21
T,33.70,4,2014-01-17
T,33.96,3,2014-01-16
T,33.79,2,2014-01-15
T,33.48,1,2014-01-14
T,33.30,0,2014-01-13
T,33.62,4,2014-01-10
T,33.54,3,2014-01-09
T,34.24,2,2014-01-08
T,34.95,1,2014-01-07
T,34.96,0,2014-01-06
T,34.80,4,2014-01-03
T,34.95,3,2014-01-02
T,35.16,1,2013-12-31
T,35.20,0,2013-12-30
T,35.18,4,2013-12-27
T,35.16,3,2013-12-26
T,34.95,1,2013-12-24
T,34.69,0,2013-12-23
T,34.30,4,2013-12-20
T,34.45,3,2013-12-19
T,34.38,2,2013-12-18
T,33.85,1,2013-12-17
T,34.15,0,2013-12-16
T,33.85,4,2013-12-13
T,33.89,3,2013-12-12
T,33.95,2,2013-12-11
T,34.40,1,2013-12-10
T,34.69,0,2013-12-09
T,34.53,4,2013-12-06
T,34.25,3,2013-12-05
T,34.60,2,2013-12-04
T,34.74,1,2013-12-03
T,34.80,0,2013-12-02
T,35.21,4,2013-11-29
T,35.41,2,2013-11-27
T,35.28,1,2013-11-26
T,35.37,0,2013-11-25
T,35.42,4,2013-11-22
T,35.30,3,2013-11-21
T,35.40,2,2013-11-20
T,35.72,1,2013-11-19
T,35.60,0,2013-11-18
T,35.43,4,2013-11-15
T,35.16,3,2013-11-14
T,35.07,2,2013-11-13
T,35.17,1,2013-11-12
T,35.03,0,2013-11-11
T,35.17,4,2013-11-08
T,35.11,3,2013-11-07
T,35.82,2,2013-11-06
T,35.53,1,2013-11-05
T,36.45,0,2013-11-04
T,36.24,4,2013-11-01
T,36.20,3,2013-10-31
T,36.26,2,2013-10-30
T,36.27,1,2013-10-29
T,35.57,0,2013-10-28
T,35.19,4,2013-10-25
T,34.63,3,2013-10-24
T,35.28,2,2013-10-23
T,35.23,1,2013-10-22
T,35.22,0,2013-10-21
